"","spc_common","boroname","numtrees","avghealth"
"570","black oak","Staten Island",98,1.81632653061224
"571","white oak","Staten Island",232,1.71120689655172
"572","sycamore maple","Staten Island",314,1.71337579617834
"573","Sophora","Staten Island",955,1.72356020942408
"574","tulip-poplar","Staten Island",216,1.77314814814815
"575","common hackberry","Staten Island",171,1.67251461988304
"576","Osage-orange","Staten Island",5,1.8
"577","Amur cork tree","Staten Island",26,1.88461538461538
"578","swamp white oak","Staten Island",793,1.73392181588903
"579","eastern redbud","Staten Island",965,1.72435233160622
"580","Norway spruce","Staten Island",51,1.7843137254902
"581","serviceberry","Staten Island",436,1.77064220183486
"582","ginkgo","Staten Island",914,1.75601750547046
"583","empress tree","Staten Island",41,1.73170731707317
"584","European hornbeam","Staten Island",186,1.80645161290322
"585","black walnut","Staten Island",46,1.54347826086956
"586","weeping willow","Staten Island",55,1.72727272727273
"587","southern red oak","Staten Island",18,1.61111111111111
"588","willow oak","Staten Island",258,1.77131782945736
"589","dawn redwood","Staten Island",421,1.75534441805226
"590","trident maple","Staten Island",23,1.8695652173913
"591","river birch","Staten Island",159,1.75471698113208
"592","sawtooth oak","Staten Island",164,1.89634146341463
"593","Cornelian cherry","Staten Island",291,1.87285223367698
"594","paper birch","Staten Island",122,1.77868852459016
"595","sassafras","Staten Island",24,1.66666666666667
"596","black maple","Staten Island",36,1.58333333333333
"597","Japanese maple","Staten Island",160,1.7625
"598","hawthorn","Staten Island",646,1.73839009287926
"599","golden raintree","Staten Island",597,1.80737018425461
"600","bur oak","Staten Island",71,1.85915492957746
"601","American hornbeam","Staten Island",269,1.80297397769517
"602","pagoda dogwood","Staten Island",83,1.83132530120482
"603","American hophornbeam","Staten Island",151,1.82119205298013
"604","tree of heaven","Staten Island",64,1.640625
"605","pignut hickory","Staten Island",21,1.66666666666667
"606","bald cypress","Staten Island",129,1.81395348837209
"607","blackgum","Staten Island",52,1.80769230769231
"608","eastern hemlock","Staten Island",16,1.625
"609","American beech","Staten Island",49,1.89795918367347
"610","Himalayan cedar","Staten Island",21,1.80952380952381
"611","arborvitae","Staten Island",54,1.98148148148148
"612","silver birch","Staten Island",50,1.74
"613","Japanese hornbeam","Staten Island",44,1.79545454545455
"614","eastern cottonwood","Staten Island",64,1.78125
"615","Siberian elm","Staten Island",200,1.875
"616","horse chestnut","Staten Island",186,1.68817204301075
"617","Turkish hazelnut","Staten Island",17,1.76470588235294
"618","Chinese tree lilac","Staten Island",106,1.80188679245283
"619","black cherry","Staten Island",90,1.62222222222222
"620","kousa dogwood","Staten Island",55,1.49090909090909
"621","European beech","Staten Island",12,2
"622","English oak","Staten Island",204,1.75980392156863
"623","red horse chestnut","Staten Island",24,1.79166666666667
"624","magnolia","Staten Island",121,1.88429752066116
"625","cucumber magnolia","Staten Island",38,1.84210526315789
"626","Japanese snowbell","Staten Island",36,1.75
"627","two-winged silverbell","Staten Island",57,1.57894736842105
"628","scarlet oak","Staten Island",96,1.79166666666667
"629","shingle oak","Staten Island",57,1.80701754385965
"630","boxelder","Staten Island",16,1.5
"631","cockspur hawthorn","Staten Island",90,1.74444444444444
"632","eastern redcedar","Staten Island",79,1.81012658227848
"633","Oklahoma redbud","Staten Island",30,1.86666666666667
"634","pine","Staten Island",28,1.78571428571429
"635","paperbark maple","Staten Island",38,1.81578947368421
"636","catalpa","Staten Island",25,1.64
"637","red pine","Staten Island",17,1.94117647058824
"638","southern magnolia","Staten Island",19,1.94736842105263
"639","katsura tree","Staten Island",99,1.75757575757576
"640","Kentucky yellowwood","Staten Island",62,1.80645161290323
"641","Atlas cedar","Staten Island",8,1.75
"642","pond cypress","Staten Island",7,1.85714285714286
"643","quaking aspen","Staten Island",20,1.65
"644","black pine","Staten Island",3,1
"645","Atlantic white cedar","Staten Island",62,1.03225806451613
"646","spruce","Staten Island",34,1.55882352941177
"647","Shantung maple","Staten Island",11,1.45454545454545
"648","tartar maple","Staten Island",32,1.875
"649","American larch","Staten Island",9,2
"650","Chinese chestnut","Staten Island",24,1.875
"651","blue spruce","Staten Island",26,1.84615384615385
"652","European alder","Staten Island",12,1.66666666666667
"653","Persian ironwood","Staten Island",23,1.69565217391304
"654","Ohio buckeye","Staten Island",5,1.8
"655","false cypress","Staten Island",9,1.88888888888889
"656","Scots pine","Staten Island",3,1.66666666666667
"657","smoketree","Staten Island",2,1
"658","Douglas-fir","Staten Island",8,1.875
"659","pitch pine","Staten Island",6,2
"660","mimosa","Staten Island",9,1.66666666666667
