"","spc_common","boroname","numtrees","avghealth"
"105","blue spruce","Brooklyn",19,1.73684210526316
"106","Himalayan cedar","Brooklyn",14,1.78571428571429
"107","quaking aspen","Brooklyn",21,1.76190476190476
"108","pignut hickory","Brooklyn",16,1.8125
"109","Oklahoma redbud","Brooklyn",51,1.84313725490196
"110","bigtooth aspen","Brooklyn",23,1.65217391304348
"111","eastern hemlock","Brooklyn",33,1.6969696969697
"112","weeping willow","Brooklyn",55,1.74545454545454
"113","Douglas-fir","Brooklyn",30,1.9
"114","pagoda dogwood","Brooklyn",80,1.7375
"115","American beech","Brooklyn",83,1.63855421686747
"116","American larch","Brooklyn",8,2
"117","southern red oak","Brooklyn",20,1.9
"118","European beech","Brooklyn",42,1.69047619047619
"119","European alder","Brooklyn",10,1.8
"120","black maple","Brooklyn",31,1.67741935483871
"121","crepe myrtle","Brooklyn",65,1.81538461538462
"122","red horse chestnut","Brooklyn",21,1.38095238095238
"123","smoketree","Brooklyn",10,1.9
"124","Atlas cedar","Brooklyn",34,1.85294117647059
"125","eastern cottonwood","Brooklyn",40,1.5
"126","red pine","Brooklyn",26,1.92307692307692
"127","southern magnolia","Brooklyn",27,1.7037037037037
"128","Osage-orange","Brooklyn",8,2
"129","Virginia pine","Brooklyn",3,1.33333333333333
"130","black pine","Brooklyn",5,1.6
"131","pitch pine","Brooklyn",9,2
"132","Shantung maple","Brooklyn",12,1.75
"133","Scots pine","Brooklyn",3,1.66666666666667
"134","London planetree","Queens",31111,1.84008871460255
"135","cherry","Queens",13497,1.82714677335704
"136","mulberry","Queens",581,1.71600688468158
"137","pin oak","Queens",22610,1.84024767801857
"138","littleleaf linden","Queens",11902,1.79179969752983
"139","green ash","Queens",7389,1.81012315604277
"140","Callery pear","Queens",16547,1.80358977458149
"141","Japanese zelkova","Queens",8987,1.87837988205186
"142","Sophora","Queens",5386,1.77849981433346
"143","eastern redbud","Queens",1358,1.72164948453608
"144","Norway maple","Queens",19407,1.46596588859691
"145","Sophora","Bronx",2555,1.81174168297456
"146","Callery pear","Bronx",4947,1.85567010309278
"147","honeylocust","Bronx",9691,1.86760912186565
"148","London planetree","Bronx",7511,1.80734922114232
"149","American elm","Bronx",1471,1.7675050985724
"150",NA,"Bronx",4619,2
"151","pin oak","Bronx",6445,1.85120248254461
"152","Japanese zelkova","Bronx",4638,1.82578697714532
"153","littleleaf linden","Bronx",3917,1.74087311718152
"154","ginkgo","Bronx",2685,1.79143389199255
"155","Chinese elm","Bronx",1321,1.82134746404239
"156","hawthorn","Bronx",472,1.75423728813559
"157","green ash","Bronx",1889,1.77448385389095
"158","cherry","Bronx",4092,1.76881720430108
"159","hedge maple","Bronx",798,1.79824561403509
"160","Amur cork tree","Bronx",32,1.71875
"161","maple","Bronx",995,1.55075376884422
"162","common hackberry","Bronx",807,1.74473358116481
"163","silver birch","Bronx",42,1.54761904761905
"164","American linden","Bronx",2132,1.76547842401501
"165","'Schubert' chokecherry","Bronx",575,1.74260869565217
"166","serviceberry","Bronx",307,1.78175895765472
"167","golden raintree","Bronx",518,1.77992277992278
"168","swamp white oak","Bronx",826,1.80750605326877
"169","Siberian elm","Bronx",392,1.86989795918367
"170","silver maple","Bronx",662,1.73111782477341
"171","Amur maackia","Bronx",466,1.75965665236051
"172","two-winged silverbell","Bronx",26,1.65384615384615
"173","silver linden","Bronx",670,1.77462686567164
"174","American beech","Bronx",31,1.58064516129032
"175","American hornbeam","Bronx",295,1.63728813559322
"176","Chinese tree lilac","Bronx",53,1.56603773584906
"177","American hophornbeam","Bronx",185,1.75135135135135
"178","hardy rubber tree","Bronx",101,1.77227722772277
"179","red maple","Bronx",2198,1.73430391264786
"180","purple-leaf plum","Bronx",774,1.76356589147287
"181","black locust","Bronx",354,1.77683615819209
"182","dawn redwood","Bronx",396,1.60353535353535
"183","white ash","Bronx",174,1.64942528735632
"184","catalpa","Bronx",133,1.64661654135338
"185","blackgum","Bronx",28,1.67857142857143
"186","Japanese tree lilac","Bronx",579,1.75993091537133
"187","Norway maple","Bronx",3376,1.61640995260664
"188","southern magnolia","Bronx",19,1.84210526315789
"189","bur oak","Bronx",80,1.6875
"190","magnolia","Bronx",62,1.64516129032258
"191","Japanese hornbeam","Bronx",74,1.78378378378378
"192","false cypress","Bronx",13,1.84615384615385
"193","northern red oak","Bronx",1483,1.79028995279838
"194","sweetgum","Bronx",904,1.88606194690266
"195","European hornbeam","Bronx",449,1.69487750556793
"196","sycamore maple","Bronx",247,1.66801619433198
"197","crab apple","Bronx",507,1.79289940828402
"198","white oak","Bronx",203,1.75862068965517
"199","red pine","Bronx",10,1.9
"200","trident maple","Bronx",7,2
"201","flowering dogwood","Bronx",150,1.8
"202","Oklahoma redbud","Bronx",47,1.61702127659574
"203","black cherry","Bronx",64,1.71875
"204","Ohio buckeye","Bronx",6,1
"205","river birch","Bronx",55,1.69090909090909
"206","sawtooth oak","Bronx",363,1.89807162534435
"207","Schumard's oak","Bronx",261,1.83141762452107
"208","tulip-poplar","Bronx",62,1.37096774193548
"209","scarlet oak","Bronx",302,1.77814569536424
"210","English oak","Bronx",223,1.86547085201794
"211","Cornelian cherry","Bronx",170,1.85882352941176
"212","shingle oak","Bronx",177,1.84180790960452
"213","southern red oak","Bronx",11,1.81818181818182
"214","mulberry","Bronx",155,1.68387096774194
"215","horse chestnut","Bronx",102,1.51960784313726
"216","sugar maple","Bronx",362,1.64364640883978
"217","Kentucky coffeetree","Bronx",452,1.73230088495575
"218","Japanese maple","Bronx",85,1.69411764705882
"219","weeping willow","Bronx",27,1.92592592592593
"220","Chinese chestnut","Bronx",19,1.89473684210526
"221","crepe myrtle","Bronx",45,1.62222222222222
"222","mimosa","Bronx",17,1.70588235294118
"223","willow oak","Bronx",505,1.87722772277228
"224","black oak","Bronx",224,1.79017857142857
"225","Amur maple","Bronx",431,1.76566125290023
"226","ash","Bronx",289,1.78892733564014
"227","white pine","Bronx",17,1.82352941176471
"228","European beech","Bronx",14,1.42857142857143
"229","Turkish hazelnut","Bronx",54,1.77777777777778
"230","katsura tree","Bronx",145,1.38620689655172
"231","eastern cottonwood","Bronx",56,1.64285714285714
"232","Atlantic white cedar","Bronx",53,1.90566037735849
"233","Chinese fringetree","Bronx",31,1.87096774193548
"234","empress tree","Bronx",57,1.59649122807018
"235","eastern redbud","Bronx",632,1.68829113924051
"236","bald cypress","Bronx",85,1.65882352941177
"237","Norway spruce","Bronx",43,1.53488372093023
"238","eastern redcedar","Bronx",158,1.88607594936709
"239","Douglas-fir","Bronx",8,2
"240","Persian ironwood","Bronx",29,1.79310344827586
"241","blue spruce","Bronx",16,2
"242","tree of heaven","Bronx",82,1.53658536585366
"243","pine","Bronx",19,1.78947368421053
"244","paper birch","Bronx",62,1.66129032258065
"245","crimson king maple","Bronx",195,1.52820512820513
"246","tartar maple","Bronx",43,1.62790697674419
"247","Kentucky yellowwood","Bronx",88,1.73863636363636
"248","Japanese snowbell","Bronx",55,1.6
"249","Shantung maple","Bronx",9,1.77777777777778
"250","eastern hemlock","Bronx",7,1.57142857142857
"251","paperbark maple","Bronx",35,1.8
"252","cucumber magnolia","Bronx",19,1.73684210526316
"253","kousa dogwood","Bronx",41,1.82926829268293
"254","black walnut","Bronx",43,1.62790697674419
"255","red horse chestnut","Bronx",12,1.83333333333333
"256","pagoda dogwood","Bronx",18,1.72222222222222
"257","American larch","Bronx",12,1.75
"258","sassafras","Bronx",16,1.75
"259","black maple","Bronx",14,1.92857142857143
"260","holly","Bronx",11,1.72727272727273
"261","arborvitae","Bronx",26,1.88461538461538
"262","Scots pine","Bronx",2,2
"263","cockspur hawthorn","Bronx",56,1.57142857142857
"264","spruce","Bronx",9,1.88888888888889
"265","bigtooth aspen","Bronx",7,1.85714285714286
"266","Himalayan cedar","Bronx",1,2
"267","Atlas cedar","Bronx",6,2
"268","pond cypress","Bronx",30,1.63333333333333
"269","black pine","Bronx",2,2
"270","quaking aspen","Bronx",5,1.6
"271","pignut hickory","Bronx",7,1.57142857142857
"272","boxelder","Bronx",17,1.88235294117647
"273","smoketree","Bronx",3,1.33333333333333
"274","Osage-orange","Bronx",3,1.66666666666667
"275","Virginia pine","Bronx",1,2
"276","European alder","Bronx",6,1.66666666666667
"277","pitch pine","Bronx",3,2
"278","shingle oak","Manhattan",205,1.77560975609756
"279","London planetree","Manhattan",4122,1.5376031052887
"280","Japanese zelkova","Manhattan",3596,1.71440489432703
"281","northern red oak","Manhattan",1143,1.66754155730534
"282","Callery pear","Manhattan",7297,1.67712758667945
"283","silver linden","Manhattan",541,1.62846580406654
"284","honeylocust","Manhattan",13176,1.8161669829222
"285","American linden","Manhattan",1583,1.52811118130133
"286","ginkgo","Manhattan",5859,1.66478921317631
"287","littleleaf linden","Manhattan",3333,1.48454845484548
"288","sawtooth oak","Manhattan",353,1.8413597733711
"289","Chinese elm","Manhattan",785,1.71592356687898
"290","pin oak","Manhattan",4584,1.78468586387435
"291","cherry","Manhattan",869,1.71461449942463
"292",NA,"Manhattan",2995,NA
"293","Chinese chestnut","Manhattan",17,1.64705882352941
"294","Japanese tree lilac","Manhattan",129,1.61240310077519
"295","golden raintree","Manhattan",359,1.86629526462396
"296","sweetgum","Manhattan",227,1.55066079295154
"297","American elm","Manhattan",1698,1.75559481743227
"298","tree of heaven","Manhattan",104,1.74038461538462
"299","black locust","Manhattan",259,1.75289575289575
"300","sycamore maple","Manhattan",23,1.52173913043478
"301","Sophora","Manhattan",4453,1.75634403772737
"302","American hophornbeam","Manhattan",84,1.66666666666667
"303","sassafras","Manhattan",17,1.35294117647059
"304","Norway maple","Manhattan",290,1.40344827586207
"305","red maple","Manhattan",356,1.51685393258427
"306","pond cypress","Manhattan",12,0.666666666666667
"307","dawn redwood","Manhattan",199,1.44723618090452
"308","black oak","Manhattan",192,1.703125
"309","Japanese snowbell","Manhattan",15,1.4
"310","green ash","Manhattan",770,1.68831168831169
"311","English oak","Manhattan",197,1.73604060913706
"312","tulip-poplar","Manhattan",34,1.29411764705882
"313","common hackberry","Manhattan",170,1.50588235294118
"314","'Schubert' chokecherry","Manhattan",163,1.60736196319018
"315","black walnut","Manhattan",33,1.75757575757576
"316","Japanese hornbeam","Manhattan",62,1.67741935483871
"317","crab apple","Manhattan",437,1.77803203661327
"318","sugar maple","Manhattan",48,1.52083333333333
"319","empress tree","Manhattan",17,1.41176470588235
"320","purple-leaf plum","Manhattan",110,1.67272727272727
"321","eastern redbud","Manhattan",50,1.7
"322","silver maple","Manhattan",71,1.35211267605634
"323","swamp white oak","Manhattan",681,1.76211453744493
"324","hawthorn","Manhattan",219,1.78538812785388
"325","black cherry","Manhattan",32,1.6875
"326","willow oak","Manhattan",889,1.80989876265467
"327","Turkish hazelnut","Manhattan",17,1.35294117647059
"328","Chinese tree lilac","Manhattan",8,1.5
"329","scarlet oak","Manhattan",71,1.69014084507042
"330","eastern hemlock","Manhattan",7,0.571428571428572
